species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,5,6,0.001,-0.695384275188747,19208,185
bird1,5,6,0.01,-0.6900775280918904,19208,185
bird1,5,6,0.1,-0.6872078722062296,19208,185
bird1,0,7,0.001,-1.717428743611842,1,1
bird1,0,7,0.01,-1.7174287971243334,1,1
bird1,0,7,0.1,-1.717429332463566,1,1
bird1,1,7,0.001,-0.7399378633117661,8,8
bird1,1,7,0.01,-0.739941752560824,8,8
bird1,1,7,0.1,-0.7399807761542001,8,8
bird1,2,7,0.001,-0.6953145385237787,56,30
bird1,2,7,0.01,-0.6946293225213905,56,30
bird1,2,7,0.1,-0.6941794359695691,56,30
bird1,3,7,0.001,-0.686111100261674,392,63
bird1,3,7,0.01,-0.6839745127510994,392,63
bird1,3,7,0.1,-0.6824869056725644,392,63
bird1,4,7,0.001,-0.6878677873636454,2744,114
bird1,4,7,0.01,-0.6844454573660336,2744,114
bird1,4,7,0.1,-0.6824470149176547,2744,114
bird1,5,7,0.001,-0.7035538186273993,19208,184
bird1,5,7,0.01,-0.6941044799209926,19208,184
bird1,5,7,0.1,-0.6877125855255852,19208,184
bird1,0,8,0.001,-1.729554734678281,1,1
bird1,0,8,0.01,-1.7295546906398014,1,1
bird1,0,8,0.1,-1.7295542506615849,1,1
bird1,1,8,0.001,-0.7510536341134387,8,8
bird1,1,8,0.01,-0.7508929857983715,8,8
bird1,1,8,0.1,-0.7507473494778659,8,8
bird1,2,8,0.001,-0.7124120148006898,56,36
bird1,2,8,0.01,-0.709563635691203,56,36
bird1,2,8,0.1,-0.7071069236122074,56,36
bird1,3,8,0.001,-0.7023879072301031,392,81
bird1,3,8,0.01,-0.698122727184168,392,81
bird1,3,8,0.1,-0.6949864770626697,392,81
bird1,4,8,0.001,-0.7044363992346594,2744,143
bird1,4,8,0.01,-0.6999927742420836,2744,143
bird1,4,8,0.1,-0.6975209738299842,2744,143
bird1,5,8,0.001,-0.7242699222959547,19208,225
bird1,5,8,0.01,-0.7140827304624278,19208,225
bird1,5,8,0.1,-0.7073947845435286,19208,225
bird1,0,9,0.001,-1.730061773346257,1,1
bird1,0,9,0.01,-1.7300617023812688,1,1
bird1,0,9,0.1,-1.7300609931923554,1,1
bird1,1,9,0.001,-0.7555794719891159,8,8
bird1,1,9,0.01,-0.7552588646441845,8,8
bird1,1,9,0.1,-0.7549583181034154,8,8
bird1,2,9,0.001,-0.7096361592201129,56,37
bird1,2,9,0.01,-0.7078228234226549,56,37
bird1,2,9,0.1,-0.7063504335780395,56,37
bird1,3,9,0.001,-0.6993053901891745,392,85
bird1,3,9,0.01,-0.6978255493095763,392,85
bird1,3,9,0.1,-0.6971494332632405,392,85
bird1,4,9,0.001,-0.7047594701368878,2744,145
bird1,4,9,0.01,-0.7003424171654761,2744,145
bird1,4,9,0.1,-0.6979295747228134,2744,145
bird1,5,9,0.001,-0.7191750950507421,19208,220
bird1,5,9,0.01,-0.7112522026811657,19208,220
bird1,5,9,0.1,-0.706829460888577,19208,220
bird1,0,10,0.001,-1.7242667754606456,1,1
bird1,0,10,0.01,-1.7242668030010166,1,1
bird1,0,10,0.1,-1.7242670786329308,1,1
bird1,1,10,0.001,-0.7530490191611711,8,8
bird1,1,10,0.01,-0.7523892140094501,8,8
bird1,1,10,0.1,-0.7517456954561925,8,8
bird1,2,10,0.001,-0.7081667109866195,56,37
bird1,2,10,0.01,-0.707166598147281,56,37
bird1,2,10,0.1,-0.706503836159516,56,37
bird1,3,10,0.001,-0.6968823607615794,392,78
bird1,3,10,0.01,-0.6948545843986765,392,78
bird1,3,10,0.1,-0.6938970082711812,392,78
bird1,4,10,0.001,-0.7005521191116935,2744,135
bird1,4,10,0.01,-0.6970880590543016,2744,135
bird1,4,10,0.1,-0.6955046030383033,2744,135
bird1,5,10,0.001,-0.7143887032054896,19208,203
bird1,5,10,0.01,-0.7071312103153329,19208,203
bird1,5,10,0.1,-0.7030187067966833,19208,203
bird1,0,11,0.001,-1.7289511889181426,1,1
bird1,0,11,0.01,-1.7289511578661518,1,1
bird1,0,11,0.1,-1.7289508476704236,1,1
bird1,1,11,0.001,-0.7489043873677922,8,8
bird1,1,11,0.01,-0.7485674592083301,8,8
bird1,1,11,0.1,-0.7482530605642442,8,8
bird1,2,11,0.001,-0.7048606103103535,56,37
bird1,2,11,0.01,-0.7038264197485653,56,37
bird1,2,11,0.1,-0.7030870962178448,56,37
bird1,3,11,0.001,-0.6908216638401339,392,79
bird1,3,11,0.01,-0.6889004310952378,392,79
bird1,3,11,0.1,-0.6879277627662834,392,79
bird1,4,11,0.001,-0.6887951595399479,2744,128
bird1,4,11,0.01,-0.6865332162305885,2744,128
bird1,4,11,0.1,-0.6860252265813072,2744,128
bird1,5,11,0.001,-0.7026966738697341,19208,190
bird1,5,11,0.01,-0.6957612210438359,19208,190
bird1,5,11,0.1,-0.6918858409046035,19208,190
bird1,0,12,0.001,-1.72099686150971,1,1
bird1,0,12,0.01,-1.720996888279541,1,1
bird1,0,12,0.1,-1.7209971562343844,1,1
bird1,1,12,0.001,-0.7423732668693981,8,8
bird1,1,12,0.01,-0.7422003258936335,8,8
bird1,1,12,0.1,-0.7420529933704583,8,8
bird1,2,12,0.001,-0.6979011993930423,56,32
bird1,2,12,0.01,-0.6968232200848685,56,32
bird1,2,12,0.1,-0.6960159105194715,56,32
bird1,3,12,0.001,-0.6878774481085104,392,69
bird1,3,12,0.01,-0.6860395500168275,392,69
bird1,3,12,0.1,-0.6848765798444374,392,69
bird1,4,12,0.001,-0.6892983055872389,2744,120
bird1,4,12,0.01,-0.6869173584151685,2744,120
bird1,4,12,0.1,-0.6860234739397127,2744,120
bird1,5,12,0.001,-0.6910390201768108,19208,181
bird1,5,12,0.01,-0.6866143342248219,19208,181
bird1,5,12,0.1,-0.6846370109054317,19208,181
bird1,0,13,0.001,-1.725461212916516,1,1
bird1,0,13,0.01,-1.7254612397926627,1,1
bird1,0,13,0.1,-1.7254615088092018,1,1
bird1,1,13,0.001,-0.7446537935525077,8,8
bird1,1,13,0.01,-0.7441516722238315,8,8
bird1,1,13,0.1,-0.7436782415637546,8,8
bird1,2,13,0.001,-0.7025020981608807,56,37
bird1,2,13,0.01,-0.7005941513867321,56,37
bird1,2,13,0.1,-0.6989483632968225,56,37
bird1,3,13,0.001,-0.6913633051866098,392,76
bird1,3,13,0.01,-0.6887340939120005,392,76
