species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bre,1,6,0.001,-0.06989062673421925,11,10
bre,1,6,0.01,-0.06989196548608095,11,10
bre,1,6,0.1,-0.06990581702221618,11,10
bre,2,6,0.001,-0.07790962389169397,110,43
bre,2,6,0.01,-0.07722331080875383,110,43
bre,2,6,0.1,-0.07672071909242445,110,43
bre,3,6,0.001,-0.09978934092909043,1100,119
bre,3,6,0.01,-0.09575863802615117,1100,119
bre,3,6,0.1,-0.0933264910400967,1100,119
bre,4,6,0.001,-0.29270515794248175,11000,193
bre,4,6,0.01,-0.28324442496187396,11000,193
bre,4,6,0.1,-0.28241325574963316,11000,193
bre,5,6,0.001,-1.0649614620308363,110000,240
bre,5,6,0.01,-1.0250131379177594,110000,240
bre,5,6,0.1,-0.9988650680241319,110000,240
bre,6,6,0.001,-1.4806958912809716,1100000,263
bre,6,6,0.01,-1.4773463956886355,1100000,263
bre,6,6,0.1,-1.4789895486800362,1100000,263
bre,0,7,0.001,-2.3083437675397445,1,1
bre,0,7,0.01,-2.3083437160292046,1,1
bre,0,7,0.1,-2.308343201068391,1,1
bre,1,7,0.001,-0.08401757490036808,11,10
bre,1,7,0.01,-0.08401850176744735,11,10
bre,1,7,0.1,-0.08402816379416249,11,10
bre,2,7,0.001,-0.09246132790176682,110,42
bre,2,7,0.01,-0.09135459439518255,110,42
bre,2,7,0.1,-0.09066483684034231,110,42
bre,3,7,0.001,-0.1645735108697774,1100,137
bre,3,7,0.01,-0.16111796949150645,1100,137
bre,3,7,0.1,-0.16101655418911998,1100,137
bre,4,7,0.001,-0.32475445727792773,11000,262
bre,4,7,0.01,-0.318517914520434,11000,262
bre,4,7,0.1,-0.3199333773826001,11000,262
bre,5,7,0.001,-0.9547179873737841,110000,354
bre,5,7,0.01,-0.9497568424860963,110000,354
bre,5,7,0.1,-0.9512076440656244,110000,354
bre,6,7,0.001,-1.3517797562961895,1100000,392
bre,6,7,0.01,-1.346563842645456,1100000,392
bre,6,7,0.1,-1.3495834405813076,1100000,392
bre,0,8,0.001,-2.184876064260865,1,1
bre,0,8,0.01,-2.1848760821102804,1,1
bre,0,8,0.1,-2.1848762607432195,1,1
bre,1,8,0.001,-0.07005256797451213,11,10
bre,1,8,0.01,-0.0700547843302222,11,10
bre,1,8,0.1,-0.0700770119352773,11,10
bre,2,8,0.001,-0.08621907053997786,110,39
bre,2,8,0.01,-0.08583000804086244,110,39
bre,2,8,0.1,-0.08556667367361381,110,39
bre,3,8,0.001,-0.105626130544327,1100,110
bre,3,8,0.01,-0.10363629002322669,1100,110
bre,3,8,0.1,-0.10302592694238874,1100,110
bre,4,8,0.001,-0.25884952822345364,11000,185
bre,4,8,0.01,-0.2543831710096223,11000,185
bre,4,8,0.1,-0.2534467413406154,11000,185
bre,5,8,0.001,-0.6596245243528097,110000,247
bre,5,8,0.01,-0.6540604898973303,110000,247
bre,5,8,0.1,-0.6566297962673068,110000,247
bre,6,8,0.001,-1.0223187748455498,1100000,281
bre,6,8,0.01,-1.0173273069920754,1100000,281
bre,6,8,0.1,-1.0242529191599625,1100000,281
bre,0,9,0.001,-2.1132677381391307,1,1
bre,0,9,0.01,-2.113267778437497,1,1
bre,0,9,0.1,-2.1132681815696936,1,1
bre,1,9,0.001,-0.07390104528164848,11,10
bre,1,9,0.01,-0.07390247726150935,11,10
bre,1,9,0.1,-0.07391698808412739,11,10
bre,2,9,0.001,-0.08767665122079853,110,42
bre,2,9,0.01,-0.08733644398031071,110,42
bre,2,9,0.1,-0.08715027709373717,110,42
bre,3,9,0.001,-0.10452767463557247,1100,110
bre,3,9,0.01,-0.1019537193266177,1100,110
bre,3,9,0.1,-0.10174897312025807,1100,110
bre,4,9,0.001,-0.2606396044613551,11000,172
bre,4,9,0.01,-0.24889838386231108,11000,172
bre,4,9,0.1,-0.24437799686203793,11000,172
bre,5,9,0.001,-0.8085585829856058,110000,207
bre,5,9,0.01,-0.8015137138136822,110000,207
bre,5,9,0.1,-0.8027706715232041,110000,207
bre,6,9,0.001,-1.1326103242857113,1100000,214
bre,6,9,0.01,-1.1256956005156935,1100000,214
bre,6,9,0.1,-1.1280155172212496,1100000,214
bre,0,10,0.001,-2.2023164544265805,1,1
bre,0,10,0.01,-2.2023164361330254,1,1
bre,0,10,0.1,-2.202316253390967,1,1
bre,1,10,0.001,-0.08659304781039871,11,10
bre,1,10,0.01,-0.08659453258618721,11,10
bre,1,10,0.1,-0.08660951442274116,11,10
bre,2,10,0.001,-0.10401758186933006,110,40
bre,2,10,0.01,-0.10387022170084453,110,40
bre,2,10,0.1,-0.10382845545699027,110,40
bre,3,10,0.001,-0.12401376781286565,1100,98
bre,3,10,0.01,-0.12033142039539999,1100,98
bre,3,10,0.1,-0.11807394572518418,1100,98
bre,4,10,0.001,-0.3512620786202922,11000,159
bre,4,10,0.01,-0.3468146534149587,11000,159
bre,4,10,0.1,-0.34622760169806466,11000,159
bre,5,10,0.001,-0.8964260953650524,110000,186
bre,5,10,0.01,-0.8456894356118346,110000,186
bre,5,10,0.1,-0.8101306567208185,110000,186
bre,6,10,0.001,-1.2604065745208877,1100000,195
bre,6,10,0.01,-1.2565727397113031,1100000,195
bre,6,10,0.1,-1.2576303720588415,1100000,195
bre,0,11,0.001,-2.197383996308403,1,1
bre,0,11,0.01,-2.1973839882293222,1,1
bre,0,11,0.1,-2.1973839075926493,1,1
bre,1,11,0.001,-0.09359192125461706,11,10
bre,1,11,0.01,-0.09359311636233722,11,10
bre,1,11,0.1,-0.09360525401986342,11,10
bre,2,11,0.001,-0.1034789731839279,110,41
bre,2,11,0.01,-0.10294077749855496,110,41
bre,2,11,0.1,-0.10255406440898157,110,41
bre,3,11,0.001,-0.1414595083724616,1100,119
bre,3,11,0.01,-0.13651430323817532,1100,119
bre,3,11,0.1,-0.13693189889697877,1100,119
bre,4,11,0.001,-0.4667104818956916,11000,206
bre,4,11,0.01,-0.44928064411309165,11000,206
bre,4,11,0.1,-0.44651674868592384,11000,206
bre,5,11,0.001,-0.9859179978942837,110000,279
bre,5,11,0.01,-0.9798326205472332,110000,279
bre,5,11,0.1,-0.9814521021589175,110000,279
bre,6,11,0.001,-1.309996708430638,1100000,317
bre,6,11,0.01,-1.304378257929195,1100000,317
bre,6,11,0.1,-1.3045912115125604,1100000,317
bre,0,12,0.001,-2.109108697014058,1,1
bre,0,12,0.01,-2.1091087364205596,1,1
bre,0,12,0.1,-2.1091091306524197,1,1
bre,1,12,0.001,-0.06164232975123443,11,10
bre,1,12,0.01,-0.06159401516206371,11,10
bre,1,12,0.1,-0.061564777912632686,11,10
bre,2,12,0.001,-0.09204278962894971,110,41
bre,2,12,0.01,-0.09143490892250193,110,41
bre,2,12,0.1,-0.09092843955650669,110,41
bre,3,12,0.001,-0.10398467935167297,1100,96
bre,3,12,0.01,-0.10206016754803156,1100,96
bre,3,12,0.1,-0.1008814129874357,1100,96
bre,4,12,0.001,-0.2964628083562476,11000,146
bre,4,12,0.01,-0.29329037987751894,11000,146
bre,4,12,0.1,-0.2946423005678722,11000,146
bre,5,12,0.001,-0.8263010810429179,110000,164
bre,5,12,0.01,-0.8208835382463129,110000,164
bre,5,12,0.1,-0.8196085297695318,110000,164
bre,6,12,0.001,-1.188434815159048,1100000,167
bre,6,12,0.01,-1.1845339905416457,1100000,167
bre,6,12,0.1,-1.1874269862229745,1100000,167
bre,0,13,0.001,-2.26401026341878,1,1
bre,0,13,0.01,-2.264010226889078,1,1
bre,0,13,0.1,-2.2640098617525113,1,1
bre,1,13,0.001,-0.0840242611088473,11,10
bre,1,13,0.01,-0.08402567596766108,11,10
bre,1,13,0.1,-0.08404010751082668,11,10
bre,2,13,0.001,-0.09540025672624239,110,41
bre,2,13,0.01,-0.09482805225807078,110,41
bre,2,13,0.1,-0.0944540919780979,110,41
bre,3,13,0.001,-0.10667722389335567,1100,123
bre,3,13,0.01,-0.1039179033790777,1100,123
bre,3,13,0.1,-0.103065672736029,1100,123
bre,4,13,0.001,-0.24372229893118671,11000,209
bre,4,13,0.01,-0.23818064661835173,11000,209
bre,4,13,0.1,-0.23922308795538993,11000,209
bre,5,13,0.001,-0.7067590398415011,110000,254
bre,5,13,0.01,-0.70101789811449,110000,254
bre,5,13,0.1,-0.7036328607613795,110000,254
bre,6,13,0.001,-1.175369983778876,1100000,269
bre,6,13,0.01,-1.1708978875601783,1100000,269
bre,6,13,0.1,-1.1778340606291628,1100000,269
bre,0,14,0.001,-2.3123700124434907,1,1
bre,0,14,0.01,-2.3123699552050576,1,1
bre,0,14,0.1,-2.3123693829872396,1,1
bre,1,14,0.001,-0.09027218928332537,11,10
bre,1,14,0.01,-0.09027298541393136,11,10
bre,1,14,0.1,-0.09028144592214053,11,10
bre,2,14,0.001,-0.11056236578616793,110,41
bre,2,14,0.01,-0.10977942080792702,110,41
bre,2,14,0.1,-0.10953345013915111,110,41
bre,3,14,0.001,-0.14396380037476905,1100,125
bre,3,14,0.01,-0.14012005955042822,1100,125
bre,3,14,0.1,-0.13920421204112102,1100,125
bre,4,14,0.001,-0.35665597853450404,11000,217
bre,4,14,0.01,-0.35068162904713523,11000,217
bre,4,14,0.1,-0.3571198141271077,11000,217
bre,5,14,0.001,-0.78986712835004,110000,275
bre,5,14,0.01,-0.7823420908627468,110000,275
bre,5,14,0.1,-0.7888249467701921,110000,275
bre,6,14,0.001,-1.3697575345360429,1100000,303
bre,6,14,0.01,-1.3620470601838504,1100000,303
bre,6,14,0.1,-1.3633561589423149,1100000,303
bre,0,15,0.001,-2.1482569243540666,1,1
bre,0,15,0.01,-2.1482569529305877,1,1
bre,0,15,0.1,-2.148257238839562,1,1
bre,1,15,0.001,-0.06849869218023431,11,10
bre,1,15,0.01,-0.0684579287629371,11,10
bre,1,15,0.1,-0.06843987620441573,11,10
bre,2,15,0.001,-0.09758898670815422,110,37
bre,2,15,0.01,-0.09742220198678557,110,37
bre,2,15,0.1,-0.09736349687347265,110,37
bre,3,15,0.001,-0.10828736535426352,1100,85
bre,3,15,0.01,-0.10705035422417632,1100,85
bre,3,15,0.1,-0.10641008573994641,1100,85
bre,4,15,0.001,-0.19284057118745937,11000,138
bre,4,15,0.01,-0.1896907205166224,11000,138
bre,4,15,0.1,-0.18883254185253728,11000,138
bre,5,15,0.001,-0.6519194246011661,110000,166
bre,5,15,0.01,-0.6484476416763254,110000,166
bre,5,15,0.1,-0.6502658282178617,110000,166
bre,6,15,0.001,-1.0135171891627388,1100000,179
bre,6,15,0.01,-1.0101104063544035,1100000,179
bre,6,15,0.1,-1.0111163475723521,1100000,179
bre,0,16,0.001,-2.252990209000733,1,1
bre,0,16,0.01,-2.2529901763746474,1,1
bre,0,16,0.1,-2.252989850284233,1,1
bre,1,16,0.001,-0.07466655994371905,11,10
bre,1,16,0.01,-0.07466813352816855,11,10
bre,1,16,0.1,-0.0746839792179015,11,10
bre,2,16,0.001,-0.0844323643631063,110,40
bre,2,16,0.01,-0.08386993098495782,110,40
bre,2,16,0.1,-0.08339913163960026,110,40
bre,3,16,0.001,-0.09958639369835058,1100,117
bre,3,16,0.01,-0.09649445907869407,1100,117
bre,3,16,0.1,-0.09555727659259433,1100,117
bre,4,16,0.001,-0.37716662018697106,11000,191
bre,4,16,0.01,-0.3713689776620992,11000,191
bre,4,16,0.1,-0.37127118820731136,11000,191
bre,5,16,0.001,-0.8326642599537586,110000,244
bre,5,16,0.01,-0.8240910334867186,110000,244
bre,5,16,0.1,-0.8257395134123681,110000,244
bre,6,16,0.001,-1.29893997067899,1100000,263
bre,6,16,0.01,-1.290795863914231,1100000,263
bre,6,16,0.1,-1.2886484730755463,1100000,263
bre,0,17,0.001,-2.148361821604652,1,1
bre,0,17,0.01,-2.1483618446478925,1,1
bre,0,17,0.1,-2.1483620752309713,1,1
bre,1,17,0.001,-0.08169855249621358,11,10
bre,1,17,0.01,-0.08170024277632673,11,10
bre,1,17,0.1,-0.08171724972172698,11,10
bre,2,17,0.001,-0.09820559995456309,110,40
bre,2,17,0.01,-0.09791721957233857,110,40
bre,2,17,0.1,-0.09780015412670319,110,40
bre,3,17,0.001,-0.11404674341525745,1100,109
bre,3,17,0.01,-0.11189220730070834,1100,109
bre,3,17,0.1,-0.11161012779110051,1100,109
bre,4,17,0.001,-0.2958607703279527,11000,186
bre,4,17,0.01,-0.2910883708222592,11000,186
bre,4,17,0.1,-0.2952035043232254,11000,186
bre,5,17,0.001,-0.7309810483972808,110000,230
bre,5,17,0.01,-0.7264091093239781,110000,230
bre,5,17,0.1,-0.7290322089986674,110000,230
bre,6,17,0.001,-1.0988229044956828,1100000,251
bre,6,17,0.01,-1.0947513278546566,1100000,251
bre,6,17,0.1,-1.0961332115890632,1100000,251
bre,0,18,0.001,-2.2392536959792517,1,1
bre,0,18,0.01,-2.2392536479230896,1,1
bre,0,18,0.1,-2.2392531675362073,1,1
bre,1,18,0.001,-0.07861748831065325,11,10
bre,1,18,0.01,-0.07851749076379182,11,10
bre,1,18,0.1,-0.07842923935213209,11,10
