wav_file,song
bird_6_240917_10210088_part1.wav,iihhhhhhhhhhieeeiiiiifhhhhhieeebbbbbbbbbiiiifhhhhhhhiebbbiiifhhhhhhhiaiabbiibbbbbbbbiiiifhhhhhhhhiaiammbbbbbbbbbbbihhhhhhhieeabbbbbbiiiifhhhhhhieeabbbbbbiifhhhhhiaiam
bird_6_240917_102200627_part1.wav,iiiiibbbbibbiiiiiifhhhhhieaiammmbbbbbbbiifhhhhhhieebbbbbiiiifhhhhhiaiabbbiiifhhhhhhhhieeabbbbbbihhhhhhhiaiaiammmbiiiiifhhhhhhhhebbbibbbiifhhhhhhhiaiambbbbiiiifhhhhhhhhieeabbiiiiiieebbbifhhhhhhiaiammibbbbbbiibbbiifhhhhhieeeebbbbbbiifhhhhhhhhibbbbbii
bird_6_240917_102500656_part1.wav,bbbbbbiibbbbbbibbibbbbifhhhhhhhhieabbbbiibmmmifhhhhhbeaiaiammbbiifhhhhhhhieehfhhhhhhhiaiabbbiimmihhhhhhieeabbbbiiiiiihhhhhhieaia
bird_6_240917_102500912_part1.wav,iiiiibbbbbbbbbbiiieabbbbbbiihhhhhhieeabbbiiiiifhhhhhhieeaiaiaibiiieefhhhhhhhiabbiifhhhhhhhhhheebbbbbiiiiiihhhhhhhieeabbbbiiihhhhhieeeiiiibiiiehhhhhhhhiaiabbbbbiifhhhhhhhhhhhhieeabbbbifhhhiaiabibbbiifhhhhhbbbbbbeaiammbbbiihhhhhhhieeeb
bird_6_240917_102900859_part1.wav,iiiiibbbbbbbbiiiiifhhhhhieaiaiaiaiammmmbbbbiihhhhhhhieaiammbbbbbbiifhhhhhhieeabbiiiiiifhhhhieeaiammbiiifhhhhhhieeaiammbbbbbieehhhhhhhhieeaibbbbbifhhhhhhhieeabbiiiifhhhhhhhiabibibiiifhhhhhhieaiaiammbbbbiiifhhhhhhieabibbbbiihhhhhhieeaiaiammbiiiiiifhhhhiebbbbbbbbbifhhhhhieebbbbbbbibiifhhhhhbiiaiaf
bird_6_240917_103000523_part1.wav,iiibbbbbbbbbbbiibbbiiiaiaiammbbbbbifhhhhbeeabiiiiihhhhhhieeabbbbbbmmifhhhhhhhhieeabbbbbbiifhhhieeeeaiaiammbbbiiiifhhhhhhhieiifhhhhhhhhbbbbiiiifhhhhhiabbbihhhhhhhhieeabbbbbbiihhhhfhhiammb
bird_6_240917_105900285_part1.wav,hbbbbbbbbbbiiiiiifhhhhhhhhhieaiaiammbbbbbbfhhhhhhhhieaiaiammmmbiiiiifhhhhhhhebifhhhhhhhheeaiaiaiamm
bird_6_240917_105900454_part1.wav,bbbbbbbbbbbbbbiiiiiiifhhhhhhhhhieaiaiammbbibiiiihhhhhhhiaiaiammbi
bird_6_240917_110800700_part1.wav,iiiiibbbbbbbbbbbbbiiiiiifhhhhhhiaiaiambbbiiiihhhhhhhieeabbbiiiiehhfhhhhieaiaiabbbbiifhhhhieaiaiaiebbbib
bird_6_240917_111800708_part1.wav,ibbibbbibbiiiiiiiihhhbbbbaiabammmmbbbfhhhiaiabbbbbbiieaiaiambbbfhhhhhhieeaiam
bird_6_240917_111900196_part1.wav,bbbbbbbbbbbbbiiiiiiiiifhhhiaiaiammbbbbiiiifhhhhhieeebbiiiieeaiabiiiihhhhhhieeabaiabbbbbbbbiihhhhbbbbbbaiammbbbbiiieaiabiihhheieebbbb
bird_6_240917_112100302_part1.wav,bbbbbbbbbbbibbiiibhhhbbbifhhhhhhbeabaiiebbbbbbiiifhhhbbbbbbiifhhhhhhieaiaiammmmbiiiiiiifhhhbbiiieaiammmmbbbiiiieeaiabammm
bird_6_240917_11220033_part1.wav,bbbbbbbbbbbbbbiiiiiiababibbbifhhhhhbbbbbiiiiihhbbiibiiie
bird_6_240917_112500564_part2.wav,bbbbbbbbbbbiiiifhhhhhhbbibbbiiihhhhhiaiamm
bird_6_240917_112700350_part1.wav,iibbbbbaiaiammmmmbbbiifhhhhieiibiiieaiambiieebbbfhhhhhhieeaiammbiiiieeifhhhhhhbbaiaeambibiieefhhhhhhhhieabbbbbbbibbifhhhiaiaiabmm
bird_6_240917_112700350_part2.wav,bbbbbifhhhieebiihhhhhhiaiaiai
bird_6_240917_112800560_part1.wav,bbbbbbbbbbibaiaiambbfhhhhhieaiaiaiammmmmbbbbifhhhhhie
bird_6_240917_112900551_part1.wav,bbbbiiiieaiabbbbbifhhhhhbbbbiiiieaiammmbbbbiifhhhhhhieeeaiaiam
bird_6_240917_112900551_part2.wav,bbbbibbbifhhhhieaiaiammmbbfhhhiieaiambbbiiiaiammbbiifhhhhhie
bird_6_240917_11300036_part1.wav,bbbbbbbbbbbbbifhhhbbbbiiiiieaiammbbbbiiiieaiammmbbbbfhhhhieeaiammmbbbfhhhhhieeaiaiammbbbfhhhhhieehbbiihhhhhhbeaiabmmmbbiibfhhhhhhhiaiaiammmmbbbbbbifhhhhhfbeebiiiieaiaiammmifhhhhbi
bird_6_240917_113100579_part1.wav,bbbbbbbbbbbiiiiiieaiaiammbbiiiefhhhhieeeeiiiib
bird_6_240917_113300763_part1.wav,bbbbbbifhhhhhieaiaiambbbifhhhhhhbiieiii
bird_6_240917_113400674_part1.wav,mmbbbbbiibbbbifhbbbbihhhhh
bird_6_240917_113400674_part2.wav,bbbbbbbiiieaiammieabbiaiaihbbiiiiifhhhhhieeebiihhhhhhiee
bird_6_240917_11430060_part1.wav,ibiibbbbbbbbbbibbbifhhibiaiaiammmmbbbbbbbbibbiiiifhhhhhhieaiaiammmmmbbbibiibiiihhhhhhieaiaammmibibiiieeaiaifhhbaiaiabbbiiifhf
bird_6_240917_11430060_part2.wav,biiiiiiiiibiibbiibbbbbifhhhiaiaiammmmbbbbbbii
bird_6_240917_121400324_part1.wav,ibiiibiibbbbbbiiiiifhhhhhhbaiammbbbbifhhhhhhieeeebiiiieeifhhhhhhiaiammmbibiiiibbbbbbiifhhhhhieaiammibbbbbbbbbiifhhhhhieebbibibbbbbbbiifhhhhhhhieebbbbbbbbbiiiihhhhhieaiaiammbbbbbbbiiiiieabbbbiiifhhhhhiaiiammmbbbbbbbbbiiiiifhhhhhhiaiambbbbbbbbbiifhhhhhhbieaiamf
bird_6_240917_121700245_part1.wav,ibbbiiiiibbbbbbbbiibiieaiamibibbbbbbbbiiiaiaiammmbbbbbbibbbbbiihhhhhfhhieeeiiiihhhhieifhhhhhiabbbbbbiiiiiiihieaiaiamibfhh
bird_6_240917_122900672_part1.wav,ibiibbbbbbbibiifhfhfiiiibbiaiaiammmbb
bird_6_240917_123200877_part1.wav,biibibbbbbbbiiibiiiffhhfaiaiammmmmfbbbbbiibbbiibbbbiiiieeiiiiifhhhhhhiiiifbbbbbiiiii
bird_6_240917_130500677_part1.wav,iiiiiiiiiiiifhhhhhiaiaiammmmbfhhhiaiammmmmiifhhhhieebbbbbifhhhhhieeaiaiammmmbbbfhhhhhhhiaiaiaiammbbbifhhhhhieiiiifhhhbbfhhhhhiaiaiammmmbiifhhhhieifhhhieeaiammbbbbbifhhhbiiiiifhhhhiaiammmbiifhhhhiaiammbbiiifhhhhhhieai
bird_6_240917_130800608_part1.wav,bibbbbbiibbbbbbbbbbbbbbbbiifiiifhhhhhhhhieammmmbbbbiiiifhhhhhieaiammmmbbbfhhhhhieammmmbbbbbbbifhhhhhhhieeiifhhhhhhfaiamfbbiiiifhhhhhhie
bird_6_240917_130900810_part2.wav,iiiibbibibbbbbbbbbbbbbiibiiiifhhhhhhhhiaiammmmbbbbbiifhhhhhieeefhhhhhhhhhiaiammmmbbbfhhhhhhhieaiammmmbibbbbbbbiifhhhhhhhhieaiammbbbiiiiifhhhhhiebbbfhhhhhhhhhhhiaiammmm
bird_6_240917_132000445_part1.wav,iiiiiibbbbbbiiiiiiffiaiaiammmbibbbbifhhhieeibiihhhhhhhaiaiammmbbbiifhhfaiaiammmbiifhhhiaiaiammmbbbbfhhiiiiiiiihhhieaiaiammmbbbifhhhhhiaiammmmm
bird_6_240917_132300775_part1.wav,iiiibbibbbbbibbiibbbiiiiiiiifhhhhhhhhiaieeaiammmbbiiiiifhhhhhhhieaiammmbibiiifhhhhieabaiambiiiiiiieeaiammmbibbbbiifhhhhhhhiaiaiam
bird_6_240917_132500624_part1.wav,bbiibbbbiibbbbbbbiiiiiifhhhhhiaiammmbibibbbbiiiiiffhhhfhhieaiamb
bird_6_240917_132700469_part1.wav,bibbbbiibbbbiibbbiiiieaiammbbbibbbbiibiiiifhhhhhhieaiaiammmm
bird_6_240917_132900773_part1.wav,bbibbibfhhhhbbiibiiiifhhhhieaiaiammbeaiiiiifh
bird_6_240917_134500574_part1.wav,bbbibbbbifhhhhbaiaiam
bird_6_240917_13500065_part1.wav,bbbbbbbbbbiibbbiiibfhhhiaiaiammmmmb
bird_6_240917_13510030_part1.wav,bibbbbbbbibbiiibbbiiiiiiiifhhaiammibbbeaiammmbibfhhhhhiaiaiammmmbbibbbbiiiiiiiiieabiibbiiiiiifhhiaiammmmbbbbbbbbbbiiifhhieeebb
bird_6_240917_135200528_part1.wav,bbbbbbbbbbbbbbbbbiibbbiiiiifhhhhhiaiammmmmi
bird_6_240917_135300120_part1.wav,bbbbbbbbiiibiiiiifhhhiaiaammmbbbbbiibiiiihhhhieaiammmbibbifhhhhieeaiammbiiiifhhhhiaiaiamibiiiifhhhieaiammmbbbbifhhhhiaiambbbbiiieaiammmmiifhhhhhhieeiiieeaiabbibbbiifhhiaiamm
bird_6_240917_140300835_part2.wav,ibbbbbbbiiiiiiifhhhhhhiaiammmmmbbbfhhhiaiammmbbbiieeiiiiifhhhiaiammmbiifhhhhiaiammbbbiiifhhhhieeaiaiammmbbbbbiiiieehhhhhiaiammbbbbbbbhhhhhhieeaiammmmibibbbiifhhhhhiaiaiabbiiiihhhhiaiaiammm
bird_6_240917_140400333_part1.wav,iiibbbbbbbiibbiibbaiiiifhheaiammmmbbbiiieaiammbbbbiiiiifhhbbfhhhhieeeaiammmm
bird_6_240917_142400638_part1.wav,iiibbbbbbbbbbbbbiiiifhhhhhhhhieaiam
bird_6_240917_142400638_part2.wav,bbibbbbbbibbbbbbbiaiammbbbbbbbbiiifhhhieam
bird_6_240917_14270021_part1.wav,bibbbbbbbbbbbbbbiiiiiiiiiifhhieaiammmmbbbbbbiiifhhhiaiaiemmmmbiiiiiifhhhhhhhhieaiammbbbiihhhhhhieaiammmbbbbiiiiihhhhhhieeeabbbbbiiifhhhhhiaiabbbbbbiiiifhhhhhiea
