wav_file,song
bird_4_010818_070115.2919.cbin,iiiiiiiiiiibbbkiiieeeeeeeeebkkiiiiiiiiiiiiibbkiiieeeeeeee
bird_4_010818_070157.2928.cbin,biiiiiiiiiiiibbkkiiiiiiiiiiiiieeeeeeee
bird_4_010818_070451.2969.cbin,iiiiiiiibbkiiiiiiiiiiiiiiieeeeeeeeeeeiiiiiiiiiiiiieeeeeee
bird_4_010818_070655.2995.cbin,iiiiiiiibbbkkkiiieeeeeeeebkkkiiiiiiiiiiiiieeeeeee
bird_4_010818_070810.3002.cbin,iiiiiiiiibbkbkiiiiiiiieeeeeeeeebkiiiiiiiiiiiieeeeee
bird_4_010818_070915.3014.cbin,iibbbkkkiiiiiiiiiiiiibbkkkkiiiiiiiiiiiieeeeeee
bird_4_010818_070942.3018.cbin,iiiiiiiiibkkkiiiiiiiiiiieeeeeeeebkkbiiiiiiiiiieeeeee
bird_4_010818_070950.3019.cbin,iiiiiiibbbbbkkiiiiiiiiiiiieeeeeeeeeebkkkbiiiiiiiiiiieeeeeeeebkkkiiiiiiiiiii
bird_4_010818_071027.3026.cbin,iiiiiiiiiiiibbbbbkkiiiieeeeeeeeee
bird_4_010818_071123.3033.cbin,iibbbkkkkkiiiieeeeee
bird_4_010818_071235.3045.cbin,iiiiiiiiiiibbkkkkiiiiiiiiiiiiiibbbkkkiiiiiiiiiiiiiieeeeeeeee
bird_4_010818_071337.3056.cbin,iibbbbkkkiiiiiiiiiiiiiiiibbbkiiiieeeeeeeeeebk
bird_4_010818_071347.3057.cbin,iiiiiiiibbbkkkiiiiiiiiiiiiieeeeeeeebkkbkbbiiiiiiiiiiiieeeee
bird_4_010818_071353.3058.cbin,iibbbbkiiiiiiiiiiiiiieeeeeeeebkbbbbbbbkkiiiiiiiiiiiiiieeeeeee
bird_4_010818_071406.3059.cbin,iiiiiiiiiiibbbbbbiiiiiiiiieeeeeeeebbkbbbbbkkiiiiiiiiieeeeeeeebkkiiiiiiiiiiiieeeeee
bird_4_010818_071422.3060.cbin,iiiiiiiibbbbbbkkiiiiiiiiiiiieeeeeeeebkkiiiiiiiiiiiieeeeeeeeebkkiiiiiiiiiiiieeee
bird_4_010818_071447.3062.cbin,iiiiiiiiiibbbbbkkkiiiiiiiiiiiiiiieeeeeebkkkiiiiiiiiiiieeeeeeeeebkkiiiiiiiiiiiiieeeeeeebbbbkkiiiiiiiiiiiiieeeeeee
bird_4_010818_071508.3063.cbin,iiiiiiibbbbbkkkiiiiiiiieeeeeeebkkkibiiiiiiieeebbbkkiiiiiiiie
bird_4_010818_071526.3065.cbin,iiiiiiiiiiiibbbbbkkiiiiiiiiiiiieeeeeeeebkbbbkkiiiiiiiiiiiieeeeeeeeebkiiiiiiiiiieeeeee
bird_4_010818_071610.3070.cbin,iiiiiiiiiibbkkkiiiiiiiiiiieeeeeebkkkiiiiiiiiiiiiieeeeeeebkiiiiiiiiiiie
bird_4_010818_073414.3232.cbin,iiiiiiiibbbkkiiiiiiiiiiiiiieeeeeeeeeebkkiiieeeeeee
bird_4_010818_073635.3254.cbin,iiiiiiiiiiiiibbbkkiiiiiiiiiiiiieeeeeeeeeebkkkiiiiiiiiiiiiieeeeee
bird_4_010818_073830.3276.cbin,iiiiiiiiibkiiiieeeeeeeeebkkkiiiiiiiiiiiiieeeeeeebkkkiiiiiiiiiiieeeeeeeeebbbkkiiiiiiiiiiiieeeeeeee
bird_4_010818_074302.3285.cbin,iiiiiiiibbbkkiiiiiiiiiiiiibbbkkiiiiiiiiiiiiiieeeeeeeee
bird_4_010818_074326.3289.cbin,iiiiiiiibbbbkkiiiiiiiiiiiiiiiiiiiieeeeeeeeeebkkkkiiiiiiiiiiieeeeeeeeebkbbbbbkkiiiiiiiiiiiiieeeeeeeebkbbbbbbbbbkiiiiiiiiiiiiieeeeeee
bird_4_010818_074405.3292.cbin,iiiiiiiiiiiibbbbbbkkiiiiiiiiiiiieeeeeeebkkkkiiiiiiiiiieeeeeeebkkbbbkiieeeeee
bird_4_010818_074501.3296.cbin,iiiiiiiiiiiibbiiiiiiiiiibbbbkkiiiiiiiiiiieeeeeeebkbbbbbbbbkkkiiiiiiiiiiiieeeeeeebkkiieeeeeee
bird_4_010818_074511.3297.cbin,eeeeeeibbbbbbbkkkiieeeeeeeibbbbbbiiiiiiiiiieeeeeee
