wav_file,song
bird_3_270718_162944.30.cbin,diiidiiiiieeeeedddbbbiiieeeee
bird_3_270718_162956.32.cbin,iiiiddddbbbiiidiididbbbidbbbiccccccccccceeeeeiiieeeee
bird_3_270718_163014.33.cbin,iiiiddddbbiidbbbiiiiiiccccccccccccceeeeeidbbbicccccccccccceeeeeidbbbieeeee
bird_3_270718_163048.36.cbin,iiiiiiidddddbbbcccccccccccccceeeee
bird_3_270718_163146.40.cbin,iiiiiidddbdbbbiiiidbbb
bird_3_270718_163200.41.cbin,bbbbbddbbbidbbbieeeeedbbbidbbbiicccccccccccccceeeee
bird_3_270718_163221.43.cbin,iiiiiiidddbbbiiidbbbiicccccccccccccceeeeedidbbiidiiddddcccccccccceeeeei
bird_3_270718_163236.44.cbin,iiiiiiddddbbbidbbbiccccccccccccceeeeedbbbiieeeee
bird_3_270718_163252.45.cbin,iiiidddbbbiiidiicccccccccccccceeee
bird_3_270718_163314.46.cbin,iiiiiiidddbbbidiii
bird_3_270718_163322.47.cbin,iddddbbbiiiidbbbididbbbiiieeeeeedbbbidbbbiccccccccccccceeeeeidbbbiieeeee
bird_3_270718_163342.49.cbin,iiiiiddddiiiiidiiccccccccccccceeeeedbbbiiiidbbbidbbbiiiccccccccccceeeeeidbbbiieeeeeeidbbbii
bird_3_270718_163424.50.cbin,iiidddiiididbbbidiicccccccccccccccceeeeedbbbiieeeeee
bird_3_270718_163442.51.cbin,iiiiiidddbbbicccccccccccceeeeedbbbiccccccccccceeeeeiidbbbieeeeeii
bird_3_270718_163502.53.cbin,iiiiddbbbiiccccccccccccccceeeeedbbbidbbbiieeeeedbbbiiccccccccccccccceeeeedbbbcccccccccccccccccccccccccccceeeeei
bird_3_270718_163524.54.cbin,iiiiiddddiddbbbiidbbbiccccccccccccccceeeeedbbbiicccccccccccceeeeedbbbiieeeeei
bird_3_270718_171854.62.cbin,iiiiiiiiiidbdiicccccccccccccccceeeeedbbbicccccccccccccceeeeeidbbbiieeeeeedbbbiiiccccccccccceeeee
bird_3_270718_171919.65.cbin,iiiiiidddibbiiiccccccccccceeeeedbbbiiieeeee
bird_3_270718_171929.66.cbin,iiiddddbbbidddbbbiicccccccccccceeeeeidbbbiicccccccccccccceeeee
bird_3_270718_171943.67.cbin,iiiiidddbbbiididbbbiiccccccccccccccceeeeeediiiddidiiidbbbidbbbiccccccccccccceeeeiidbbbieee
bird_3_270718_172012.68.cbin,iiiddddbbbiieeeeedidbbbiiicccccccccccceeeeeiidbiiidddbbbiieeeeeidbbbieeeee
bird_3_270718_172035.70.cbin,iiiiidddbbbiiiididdiidbbbiiccccccccccccceeeeedbbbiieeeeeeei
bird_3_270718_172057.73.cbin,iiiiiidddddbbbiccccccccccccccccceeeeediidbbbiieeeeedbbbieeeeeii
bird_3_270718_172108.74.cbin,iiiiiiddbbbiccccccccccccceeeeedbbbiiieeeeeeiidbbbidbbbiiicccccccccceeeeeidbbbiieeeee
bird_3_270718_172132.76.cbin,iiiiiiidddbbbiiiiicccccccccccccccceeeeedbbbicccccccccccceeeeeidbbbiiccccccccccceeeedbbbiieeee
bird_3_270718_172156.78.cbin,iiiidddddiiiiidiicccccccccccccceeeeedbbbieeeeeeidbbbiidiidbbbiiieeeeee
bird_3_270718_172210.79.cbin,iiiiidddbbbidbbbiicccccccccccccceeeeedbbbiidbbbiieeeeedbbbii
bird_3_270718_172234.80.cbin,iiiidddddbbbiiidddbbbiiccccccccccccccceeeeedbbbiccccccccccceeeeeiidbbbiiieeeeeii
bird_3_270718_172313.84.cbin,iiiiidddddbbbiiccccccccccccccccceeeeedbbbiieeeeedbbbiiieeeeiddbbbieeeeeiidbbbiccccccccccccccceeeeeidbbbidbbbiiieeeee
bird_3_270718_172409.87.cbin,iiiiiiiidiiiiccccccccccccccccceeeeedbbbiiiieeeeedbbbiieeeeei
bird_3_270718_172419.88.cbin,idddbbbiicccccccccccceeeeeiidbbbiiieeeeeidbbbiiii
bird_3_270718_172443.90.cbin,iiiiddddbbbiiiicccccccccccceeeeedbbbiiiiddbbbiiiiidbbbiicccccccccccccceeeeedbbbdiidbbbiieeeee
bird_3_270718_172503.91.cbin,iiiidddiiii
bird_3_270718_172508.92.cbin,iiiiiddbbbiiiiiiddiiiid
bird_3_270718_172520.93.cbin,iiiddddbbbcccccccccccccceeeeedidiiiccccccccccccceeeeeidbbbiiccccccccceeeeedbbbiieeeeidbbbiieeee
bird_3_270718_172553.96.cbin,iiiiidddddbbbiidbbbiicccccccccccccceeeeedbbbiieeeeeedbbbieeeeeiidbbbiddbbbiieeeeeidbbbieeee
bird_3_270718_172628.99.cbin,iiiiiddddii
bird_3_270718_172633.100.cbin,iddbbbiicccccccccccccccccceeeeedbbbiiieeeeedbbbiiicccccccccccccceeeeeedidbbbiiiiiddbbbiddbbbicccccccccccceeeeee
bird_3_270718_172656.101.cbin,iiiidddddbbbiiidbbbiiicccccccccccccccceeeeidbbbiiicccccccccccccceeeeedbbbii
bird_3_270718_172711.102.cbin,iiiiiiiiiidddbbbccccccccccccccccccceeeeedbbbiiccccccccccccccceeeeeidbbbieeeeei
bird_3_270718_172743.104.cbin,iiiiddddddiidiiicccccccccccccccceeeeedbbbiieeeeeedbbbiieeeeeedbbbiieeeeee
bird_3_270718_172811.106.cbin,iiiiiiddddbbbiiccccccccccccccceeeediidbbbiicccccccccccceeeeeediidbbbiddddbbbiiccccccccccccccceeeeeiidbbbidiidbbbieeeeedbbb
bird_3_270718_172849.107.cbin,iiiiiiiiiiiiidddbbbiicccccccccccccccccceeeeedbbbiiiiccccccccccccceeeeeidbbbiieeeeeidbbbiieeeeeiidbbbiieeeeeii
bird_3_270718_172923.108.cbin,iiiiiddddddbbbiccccccccccccceeeeedidbbbiiiccccccccccccccceeeeeeiiidbbbiiiccccccccccccceeeeeiidbbbiidbbbiieeeee
bird_3_270718_180016.117.cbin,iiiiiddddddiiiiccccccccccccccceeeeeidbbbiieeeeeidbbbieeeeeedbb
bird_3_270718_180041.120.cbin,iiiiiiddddbbbiicccccccccccccceeeeedbbbiicccccccccccccccccceeeeeidbbbiieeei
bird_3_270718_180059.121.cbin,iiiidddbbbiicccccccccccccceeeedbbbiieeeeeidbbbiiieeeeeidbbbiieeeeeeidddbbbiiicccccccccccccccceeee
bird_3_270718_180131.123.cbin,iiiidddbbbiiiiidiiccccccccccccccccccceeeeedbbbiieeeeeidbbbiieeeeeiidbbbiiiccccccccccccc
bird_3_270718_180152.124.cbin,iiiiiiiddddbbbiiccccccccccceeeeebdbb
bird_3_270718_180204.125.cbin,iiiiddddbbbicccccccccccccccceeeeedbbbiiidbbbiicccccccccccccceeeeeidbbbiicccccccccccccceeeee
bird_3_270718_180230.126.cbin,iiiiidddddbbbiiiiiddbbbiiccccccccccccccccceeeeeebbbiieeeeedddbbbidiiicccccccccccccceeeeeiid
bird_3_270718_180301.127.cbin,ibdddbbbiidbbbiiccccccccccccccccceeeeedbbbiieeeeeddbbbiieeeeeeidbbbiieeeee
bird_3_270718_180328.128.cbin,iiiiiiidddbbbiiccccccccccccccccccceeeeedbbbiicccccccccccccceeeeidbbbiiieeeeeiidiidbbbiiieeeee
bird_3_270718_180359.130.cbin,iiiiiidbdddbbbiiccccccccccccccccccceeeeedbbbiccccccccccceeeeeiddbbbiiidbbbicccccccccccccccccc
bird_3_270718_180420.131.cbin,iiiiddbbbiiiidbbbiccccccccccccccceeeeedbbbiiidbbbiccccccccccccccceeeeedbbbieeee
bird_3_270718_180456.134.cbin,iiiiiidddbbbiiiccccccccccccccccceeeeedbbbiicccccccccccccceeeeeidbbbidbbbiidbbbiccccccccccccceeeeeiidbbbi
bird_3_270718_180527.135.cbin,iiiiiiiddddddbbbiiiidiiidbbbiiiccccccccccccccccccceeeeedbbbididbbbiieeee
bird_3_270718_180548.136.cbin,iiiidddbbbiiidbbbiicccccccccccccccccccceeeeediidbbbiicccccccccccccccceeeeedbbbidbbbiiicccccccccccccc
bird_3_270718_180614.137.cbin,iiiiddiddbbbiiiidddddddbbbiicccccccccccccccccceeeediiddbbbiieeeeeiidbbbidiiiddbbbieeeee
bird_3_270718_180647.139.cbin,iiiiiddddddbbbiiiccccccccccccccccceeeeeeidbbbiiicccccccccccccccceeeeeii
bird_3_270718_180729.140.cbin,iiiiiididdddbbbiiicccccccccccccccceeeeeedbbbiiccccccccccccccceeeeedbbbiidbbbiiiccccccccccceeeeeiddbbbieeeee
bird_3_270718_180758.141.cbin,iiiidddddiiiidddbbbiiccccccccccccccccccccccceeeeedbbbidbbbiicccccccccccccceeeeidbbbiieeeeedbbbidbbbiiieeeee
bird_3_270718_185022.148.cbin,iiidddbbbiiccccccccccccccccceeeee
bird_3_270718_185030.149.cbin,iiiidiiccccccccccccccccceeeeedbbbiiccccccccccccceeeeeiidbbbiicccccccccccceeeee
bird_3_270718_185113.154.cbin,idddiiidbbbiccccccccccccccceeeeedbbbiiidiccccccccccceeeeddbbbiiccccccccccceeeeedbbbiiidbbbieeeee
bird_3_270718_185145.159.cbin,iiiiidddbbbicccccccccccccccceeeeedbbbiiccccccccccccceeeeedbbbiiidbbbiieeeeeiidbbbiidbbbiiieeeee
bird_3_270718_185355.178.cbin,iiiidddiddbbbidiiiiidbbbidiicccccccccccccccceeeeedbbbiiiiddbbbiccccccccccccccceeeedbbbiiccccccccccccceeeee
bird_3_270718_185449.183.cbin,iiidddddbbbiiidiicccccccccccccccccceeeeedddbbbiidbbbiicccccccccccccceeeee
bird_3_270718_185514.185.cbin,iiiiiiiddiiiiiidddbbbiicccccccccccccccceeeeiidbbbiiiieeeebdbbbi
bird_3_270718_185545.188.cbin,iiiiidddddbbbiiiiiiddiiiiidbbbicccccccccccccceeeeedbbbiiidbbbi
bird_3_270718_185622.193.cbin,iiiiidddbbbiiiddbbbiccccccccccccccccceeeeedbbbiccccccccccceeeee
bird_3_270718_185848.213.cbin,iiiddddbbbiiiiiiiiiiiidiicccccccccccccccceeeeedbbbiieeeeedbbbiiccccccccccccccceeeeeiebbbidbbbiiiiccccccccccccccccceeeee
bird_3_270718_185916.215.cbin,iiiiiiiiidddbbbiiccccccccccccceeeeedbbbiii
bird_3_270718_185927.216.cbin,iiddbbbiididibbbidd
bird_3_270718_190134.237.cbin,iiiidddddddbbbicccccccccccccccceeeeeiidbbbiiccccccccccccceeeeedbbbicccccccccccccceeeeii
bird_3_270718_190158.238.cbin,iiiiidddddbbbiiiiiidiicccccccccccccceeeedbbbiieeeeeiidbbbiieeeeidbbbiieeeeeiidbbbiiieeee
bird_3_270718_190237.239.cbin,iiiidddddiiiidbbbiiiccccccccccccceeeeedbbbiieeeeeidbbbidbbbiieeeeiiddddiiidbbbiiicccccccccccccccceeeeedbbbiieeeeeiidbbbiieeeee
bird_3_270718_190319.241.cbin,iiiiiiddbbbiiiidiiicccccccccccccccceeeeedbbbii
bird_3_270718_190327.242.cbin,iiiiiiddbbbiiccccccccccccceeeeedbbbiibcccccccccccccccceeeeeiidbbbiieeee
bird_3_270718_190357.247.cbin,iiiiiiiddbbbiccccccccccccccccceeeeedbbbiieeeeeidbbbiiieeeeedddbbbiieeeeidbbbiddbbbiieeeeeiidbd
bird_3_270718_190709.260.cbin,iiiiiiddddddiidbbbicccccccccccccccceeeedbbbieeeeeidbbbiiicccccccccceeeeedbbbii
bird_3_270718_190745.262.cbin,iiiddddiiiiiidiiccccccccccccccceeeeedbbbiiccccccccccceeeeeidbbbiiccccccccccccceeee
bird_3_270718_190808.264.cbin,iiiiiiiiddddbbbiicccccccccccccceeeedbbbiiicccccccccceeeeedbbbidiiidddbbbiicccccccccccceeeeeidbbb
bird_3_270718_190833.265.cbin,iiiiiiiiiddddiiiiidbbbiiicccccccccccccceeeeedbbbiiieeeedbbb
bird_3_270718_190855.267.cbin,iiiiiiiddiiiicccccccccccccccceeeeedbbbiieeeeeedbbbiieeeee
bird_3_270718_190907.268.cbin,iiiiiiiiiiiidddddbbbiiiccccccccccccceeeeedbbbiieeeeeeidbbbi
bird_3_270718_190940.271.cbin,iiiiddddddbbbiiiccccccccccccceeeeedbbbiiiccccccccccccccccccccceeeeeidbbbiibidbbbiieeee
bird_3_270718_191459.300.cbin,iiiidddddbbbiiiiccccccccccccccceeeeiiididbbbiicccccccccccceeeee
bird_3_270718_191552.302.cbin,iiiiiiiiddiddiiiiiidbbbiicccccccccccccccccceeeeedbbbiieeeeeidbbbicccccccccceeeee
bird_3_270718_191627.304.cbin,iiiididdddbbbiccccccccccccccceeeeedbbbiiccccccccccceeeeeiiidbbbiieeeeedddbbbiddbbbidbbbiiidddbbbiiiccccccccccceeeee
bird_3_270718_191703.307.cbin,iiiiiddddiiiiiidbbbiicccccccccccccccceeeeedbbbiicccccccccccceeeeedbbbidiiiidbbbieeeee
bird_3_270718_195250.328.cbin,idddddbbbiiiccccccccccccccccceeeeeidbbbiiccccccccccccceeeeeidbbbieeeee
bird_3_270718_195354.329.cbin,ddiddbbbiccccccccccccccceeeeeiidbbbiiccccccccccccceeeee
bird_3_270718_195726.337.cbin,iiiiiiiiidddddiiiidbbbiicccccccccccccceeeeedbbbiiieeeei
bird_3_270718_195818.343.cbin,iidddiddiiiiidbbbiiicccccccccccceeeeiidbbbiieeeeeeidiidbbbiieeeeeeiiidbbbieeee
bird_3_280718_070759.410.cbin,iiiiiidddddbbbiiiieeeeeeiiiiidbbbiieeeeeidbbbiiieeeee
bird_3_280718_070812.411.cbin,iiiiiiidddbbbiiiccccccccccccceeeeedbbbidbbbiiiieeeeeidbbbidbbbiii
bird_3_280718_070827.412.cbin,iiiiiiddbbbidiiiccccccccccccccceeeeedbbbieeeee
