wav_file,song
bird_5_250717_074928.2710.cbin,iiiibbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeeehbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbb
bird_5_250717_074955.2714.cbin,iiiibbbbbbbbbbbbbbbbbbbbbeeeeeeeeehbbbbbbiiibbbbbbbbbbbbbbbbbbbbeeeeeeeeehbbbbibbbbbbbbbbbbbbbbbbbbbbbeeeeeeehbbbbbiiibbbbbhfffffffhgmhbbbbbiibbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiibbbbbbbbbbbbbbbbbbbbb
bird_5_250717_075022.2715.cbin,iiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiibbbbbhffffffhgmhbbbbbbibbbbbbbbbbbbbbbbbbbbbeeeeeeee
bird_5_250717_075038.2717.cbin,iiiiiibbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeeehbbbbbb
bird_5_250717_075055.2721.cbin,iiiibbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiibbbbhfffffhgmhbbbbbhbbbbbbbbbbbbbbbbbbbbbbeeeeeee
bird_5_250717_075105.2722.cbin,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeiiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbeeeeeee
bird_5_250717_075122.2724.cbin,bbbbbbbbbbbbbbbbbbbbbbbbeeeeeeehbbbbbiibbbhfffffhgmhbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeee
bird_5_250717_075131.2725.cbin,iiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeee
bird_5_250717_075146.2727.cbin,iiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiiibbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeee
bird_5_250717_075213.2732.cbin,iiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiiiibbbbbbbbbbbbbbbbbbbbbbbbbeeeeeee
bird_5_250717_075230.2735.cbin,iiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeee
bird_5_250717_075246.2738.cbin,iiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeiiiibbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeehbbbbiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeee
bird_5_250717_075313.2745.cbin,iiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeee
bird_5_250717_075323.2746.cbin,iiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbeeeeee
bird_5_250717_075331.2748.cbin,iiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeee
bird_5_250717_075352.2752.cbin,iiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeiiibbbbbbbbbbbhfffffffhgmhbbbbbbibbbbbbbbbbbbbbbbbbbeeeeeeeee
bird_5_250717_075418.2759.cbin,iiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeiiiibbbbbbbbhfffffhgmhbbbbbibbbbbbbbbbbbbbbbbbbbbbeeeeeeee
bird_5_250717_075433.2762.cbin,iiiiibbbbbbbbbbbbbbbbbbbbbbbbbeeeeeee
